Timestamp,Source IP,Destination IP,Source Port,Destination Port,TTL,Protocol,Flags,Length,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
1711787013.827684,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,2.7659988403320312,43,0,5886,0,957,54,133.77272727272728,1.4772727272727275
1711787013.848551,20.205.115.81,192.168.246.147,443,53488,109,6,DF,66,0.0,1,0,66,0,66,66,33.0,0
1711787013.912109,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,2.850423812866211,44,0,6055,0,957,54,134.55555555555554,0.20381328073635774
1711787013.912215,192.168.246.147,13.107.6.158,53532,443,128,6,DF,139,2.850529909133911,45,0,6194,0,957,54,134.65217391304347,0.031279324366593746
1711787013.940551,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.856806993484497,54,0,13217,0,1434,54,240.3090909090909,3.4501683501683504
1711787013.947571,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.8638269901275635,55,0,13271,0,1434,54,236.98214285714286,3.388558201058201
1711787014.0446,13.107.6.158,192.168.246.147,443,53532,115,6,DF,356,2.9608559608459473,56,0,13627,0,1434,54,239.0701754385965,0.32845456337472895
1711787014.044677,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,2.960932970046997,57,0,13719,0,1434,54,236.5344827586207,1.5710269865067468
1711787014.044695,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,2.9830098152160645,46,0,6248,0,957,54,132.93617021276594,1.461780929866036
1711787014.062205,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,3.0005199909210205,47,0,6417,0,957,54,133.6875,0.20894970414201183
1711787014.062272,192.168.246.147,13.107.6.158,53532,443,128,6,DF,140,3.000586986541748,48,0,6557,0,957,54,133.81632653061226,0.04416909620991244
1711787014.083624,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.999879837036133,58,0,13773,0,1434,54,233.4406779661017,3.322975517890772
1711787014.095549,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,3.0118050575256348,59,0,13827,0,1434,54,230.45,3.2675925925925924
1711787014.211587,13.107.6.158,192.168.246.147,443,53532,115,6,DF,501,3.127842903137207,60,0,14328,0,1434,54,234.88524590163934,0.5311671738490232
1711787014.211673,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,3.1279289722442627,61,0,14420,0,1434,54,232.58064516129033,1.5280504908835906
1711787014.211691,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,3.15000581741333,49,0,6611,0,957,54,132.22,1.4485185185185185
1711787014.37043,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,3.3087449073791504,50,0,6780,0,957,54,132.94117647058823,0.21336581970066135
1711787014.370474,192.168.246.147,13.107.6.158,53532,443,128,6,DF,142,3.308789014816284,51,0,6922,0,957,54,133.1153846153846,0.0625677139761647
1711787014.390666,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,3.30692195892334,62,0,14474,0,1434,54,229.74603174603175,3.2545561434450323
1711787014.406622,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,3.322877883911133,63,0,14528,0,1434,54,227.0,3.2037037037037037
1711787014.517631,13.107.6.158,192.168.246.147,443,53532,115,6,DF,358,3.433887004852295,64,0,14886,0,1434,54,229.01538461538462,0.3602922217447357
1711787014.517715,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,3.4339709281921387,65,0,14978,0,1434,54,226.93939393939394,1.4667325428194993
1711787014.517733,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,3.456048011779785,52,0,6976,0,957,54,131.62264150943398,1.4374563242487772
1711787014.617176,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,3.5554909706115723,53,0,7145,0,957,54,132.3148148148148,0.21707210168748634
